Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date
10/27/2021,$0.46,Quarter,2.5%,+7%,9/20/2021,10/28/2021,12/1/2021
7/23/2021,$0.43,Quarter,3.1%,N/A,7/13/2021,7/26/2021,9/1/2021
10/16/2020,$0.43,Quarter,5.1%,+2.4%,10/9/2020,10/19/2020,12/1/2020
7/17/2020,$0.42,Quarter,4.2%,N/A,7/8/2020,7/20/2020,9/1/2020
5/8/2020,$0.42,Quarter,3.9%,N/A,4/30/2020,5/11/2020,6/1/2020
2/13/2020,$0.42,Quarter,2.9%,+10.5%,2/4/2020,2/14/2020,3/2/2020
10/16/2019,$0.42,Quarter,3.1%,+37.7%,10/7/2019,10/17/2019,12/2/2019
5/10/2019,$0.305,Quarter,2%,N/A,5/1/2019,5/13/2019,6/3/2019
2/8/2019,$0.305,Quarter,1.8%,N/A,1/30/2019,2/11/2019,3/1/2019
10/12/2018,$0.305,Quarter,1.7%,+7%,10/5/2018,10/15/2018,12/3/2018
7/20/2018,$0.285,Quarter,1.6%,N/A,7/11/2018,7/23/2018,9/4/2018
5/11/2018,$0.285,Quarter,1.6%,N/A,5/4/2018,5/14/2018,6/1/2018
2/9/2018,$0.285,Quarter,2.2%,+7.5%,2/1/2018,2/12/2018,3/1/2018
10/13/2017,$0.265,Quarter,2.1%,N/A,10/6/2017,10/16/2017,12/1/2017
7/20/2017,$0.265,Quarter,2.5%,N/A,7/12/2017,7/24/2017,9/1/2017
5/11/2017,$0.265,Quarter,2.2%,N/A,5/5/2017,5/15/2017,6/1/2017
2/10/2017,$0.265,Quarter,2.1%,+6%,1/31/2017,2/14/2017,3/1/2017
10/13/2016,$0.25,Quarter,2.4%,N/A,10/6/2016,10/17/2016,12/1/2016
7/21/2016,$0.25,Quarter,2.4%,N/A,7/13/2016,7/25/2016,9/1/2016
5/18/2016,$0.25,Quarter,2.3%,N/A,5/10/2016,5/20/2016,6/1/2016
2/11/2016,$0.25,Quarter,3.1%,-66.2%,2/4/2016,2/16/2016,3/1/2016
10/15/2015,$0.74,Quarter,5.4%,N/A,10/9/2015,10/19/2015,12/1/2015
7/23/2015,$0.74,Quarter,5.5%,+1.4%,7/16/2015,7/27/2015,9/1/2015
5/20/2015,$0.73,Quarter,4.5%,N/A,5/12/2015,5/22/2015,6/1/2015
2/12/2015,$0.75,Quarter,4.4%,N/A,2/4/2015,2/17/2015,3/2/2015
