"","Ex.Div..Date","Amount","Type","Yield","Change","Decl..Date","Rec..Date","Pay..Date"
"1",2020-10-27,0.46,"Quarter",0.46,"+7%",2020-09-20,2020-10-28,2020-12-01
"2",2020-07-23,0.43,"Quarter",0.43,"N/A",2020-07-13,2020-07-26,2020-09-01
"3",2020-10-16,0.43,"Quarter",0.43,"+2.4%",2020-10-09,2020-10-19,2020-12-01
"4",2020-07-17,0.42,"Quarter",0.42,"N/A",2020-07-08,2020-07-20,2020-09-01
"5",2020-05-08,0.42,"Quarter",0.42,"N/A",2020-04-30,2020-05-11,2020-06-01
"6",2020-02-13,0.42,"Quarter",0.42,"+10.5%",2020-02-04,2020-02-14,2020-03-02
"7",2020-10-16,0.42,"Quarter",0.42,"+37.7%",2020-10-07,2020-10-17,2020-12-02
"8",2020-05-10,0.305,"Quarter",0.305,"N/A",2020-05-01,2020-05-13,2020-06-03
"9",2020-02-08,0.305,"Quarter",0.305,"N/A",2020-01-30,2020-02-11,2020-03-01
"10",2020-10-12,0.305,"Quarter",0.305,"+7%",2020-10-05,2020-10-15,2020-12-03
"11",2020-07-20,0.285,"Quarter",0.285,"N/A",2020-07-11,2020-07-23,2020-09-04
"12",2020-05-11,0.285,"Quarter",0.285,"N/A",2020-05-04,2020-05-14,2020-06-01
"13",2020-02-09,0.285,"Quarter",0.285,"+7.5%",2020-02-01,2020-02-12,2020-03-01
"14",2020-10-13,0.265,"Quarter",0.265,"N/A",2020-10-06,2020-10-16,2020-12-01
"15",2020-07-20,0.265,"Quarter",0.265,"N/A",2020-07-12,2020-07-24,2020-09-01
"16",2020-05-11,0.265,"Quarter",0.265,"N/A",2020-05-05,2020-05-15,2020-06-01
"17",2020-02-10,0.265,"Quarter",0.265,"+6%",2020-01-31,2020-02-14,2020-03-01
"18",2020-10-13,0.25,"Quarter",0.25,"N/A",2020-10-06,2020-10-17,2020-12-01
"19",2020-07-21,0.25,"Quarter",0.25,"N/A",2020-07-13,2020-07-25,2020-09-01
"20",2020-05-18,0.25,"Quarter",0.25,"N/A",2020-05-10,2020-05-20,2020-06-01
"21",2020-02-11,0.25,"Quarter",0.25,"-66.2%",2020-02-04,2020-02-16,2020-03-01
"22",2020-10-15,0.74,"Quarter",0.74,"N/A",2020-10-09,2020-10-19,2020-12-01
"23",2020-07-23,0.74,"Quarter",0.74,"+1.4%",2020-07-16,2020-07-27,2020-09-01
"24",2020-05-20,0.73,"Quarter",0.73,"N/A",2020-05-12,2020-05-22,2020-06-01
"25",2020-02-12,0.75,"Quarter",0.75,"N/A",2020-02-04,2020-02-17,2020-03-02
